UF;Municipio; Populacao 
RO;Alta Floresta D'Oeste;22.516
RO;Ariquemes;111.148
RO;Cabixi;5.067
RO;Cacoal;86.416
RO;Cerejeiras;16.088
RO;Colorado do Oeste;15.213
RO;Corumbiara;7.052
RO;Costa Marques;19.255
RO;Espigão D'Oeste;33.009
RO;Guajará-Mirim;46.930
RO;Jaru;51.469
RO;Ji-Paraná;131.026
RO;Machadinho D'Oeste;41.724
RO;Nova Brasilândia D'Oeste;20.504
RO;Ouro Preto do Oeste;35.445
RO;Pimenta Bueno;37.098
RO;Porto Velho;548.952(1)
RO;Presidente Médici;18.165
RO;Rio Crespo;3.843
RO;Rolim de Moura;55.748
RO;Santa Luzia D'Oeste;5.942
RO;Vilhena;104.517
RO;São Miguel do Guaporé;23.147
RO;Nova Mamoré;32.184
RO;Alvorada D'Oeste;13.807
RO;Alto Alegre dos Parecis;13.268
RO;Alto Paraíso;22.258
RO;Buritis;41.043
RO;Novo Horizonte do Oeste;8.125
RO;Cacaulândia;6.307
RO;Campo Novo de Rondônia;14.391
RO;Candeias do Jamari;28.068
RO;Castanheiras;2.923
RO;Chupinguaia;11.755
RO;Cujubim;27.131
RO;Governador Jorge Teixeira;7.130
RO;Itapuã do Oeste;10.819
RO;Ministro Andreazza;9.461
RO;Mirante da Serra;10.691
RO;Monte Negro;16.158
RO;Nova União;6.822
RO;Parecis;6.319
RO;Pimenteiras do Oeste;2.127
RO;Primavera de Rondônia;2.697
RO;São Felipe D'Oeste;4.962
RO;São Francisco do Guaporé;21.088
RO;Seringueiras;11.846
RO;Teixeirópolis;4.160
RO;Theobroma;10.348
RO;Urupá;11.081
RO;Vale do Anari;11.545
RO;Vale do Paraíso;6.490
AC;Acrelândia;15.721
AC;Assis Brasil;7.649
AC;Brasiléia;27.123
AC;Bujari;10.572
AC;Capixaba;12.280
AC;Cruzeiro do Sul;89.760
AC;Epitaciolândia;18.979
AC;Feijó;34.986
AC;Jordão;8.628
AC;Mâncio Lima;19.643
AC;Manoel Urbano;9.701
AC;Marechal Thaumaturgo;19.727
AC;Plácido de Castro;20.147
AC;Porto Walter;12.497
AC;Rio Branco;419.452
AC;Rodrigues Alves;19.767
AC;Santa Rosa do Purus;6.893
AC;Senador Guiomard;23.446
AC;Sena Madureira;47.168
AC;Tarauacá;43.730
AC;Xapuri;19.866
AC;Porto Acre;19.141
AM;Alvarães;16.396
AM;Amaturá;11.934
AM;Anamã;14.292
AM;Anori;21.937
AM;Apuí;22.739
AM;Atalaia do Norte;20.868
AM;Autazes;41.005
AM;Barcelos;27.772
AM;Barreirinha;32.919
AM;Benjamin Constant;44.873(2)
AM;Beruri;20.503
AM;Boa Vista do Ramos;20.040
AM;Boca do Acre;34.958
AM;Borba;42.328
AM;Caapiranga;13.482(3)
AM;Canutama;15.981
AM;Carauari;28.719
AM;Careiro;38.820
AM;Careiro da Várzea;31.459
AM;Coari;86.713
AM;Codajás;29.691
AM;Eirunepé;36.121
AM;Envira;20.748
AM;Fonte Boa;16.409
AM;Guajará;17.193(4)
AM;Humaitá;57.195
AM;Ipixuna;31.172
AM;Iranduba;49.718
AM;Itacoatiara;104.046
AM;Itamarati;7.777
AM;Itapiranga;9.312
AM;Japurá;1.755
AM;Juruá;15.495
AM;Jutaí;13.462(5)
AM;Lábrea;47.685(6)
AM;Manacapuru;99.613
AM;Manaquiri;33.981(7)
AM;Manaus;2.255.903
AM;Manicoré;57.405
AM;Maraã;18.298
AM;Maués;66.159
AM;Nhamundá;21.710
AM;Nova Olinda do Norte;38.665
AM;Novo Airão;20.395
AM;Novo Aripuanã;26.443
AM;Parintins;116.439(8)
AM;Pauini;19.616
AM;Presidente Figueiredo;38.095
AM;Rio Preto da Eva;34.856
AM;Santa Isabel do Rio Negro;26.566(9)
AM;Santo Antônio do Içá;20.889
AM;São Gabriel da Cachoeira;47.031
AM;São Paulo de Olivença;40.837
AM;São Sebastião do Uatumã;14.678
AM;Silves;9.289
AM;Tabatinga;68.502(10)
AM;Tapauá;16.876
AM;Tefé;59.250
AM;Tonantins;19.038
AM;Uarini;13.839
AM;Urucará;16.007(11)
AM;Urucurituba;24.098(12)
RR;Amajari;13.561
RR;Alto Alegre;15.249
